"rs_schema_id","schema_id","pipeline_id","part_id","node_id_end","node_id_start","l","simple_part_id","node_name_start","altitude_start","node_type_start","x_start","y_start","node_name_end","altitude_end","node_type_end","x_end","y_end","d","s","thread_number","pipe_material","cover_ext","pipeline_type","placing","creation_date","mestor_name","schema_name","rs_schema_name","cover_int","start_kind","start_q","start_is_source","start_p","end_kind","end_q","end_is_source","end_p"
1750000710,1750000710,1750006754,1750032803,1750047759,1750033323,10.0,1750039031,к.118,86.64,1,440114.25,6554996.0,к.118 БГ,86.0,3,440123.25,6555011.0,114.0,11.0,1,сталь 13ХФА,"",Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,"",Q,422.25137,false,207.97223,,,,
1750000710,1750000710,1750006754,1750026540,1750033323,1750021961,348.0,1750030688,уз. в к18,88.0,3,440065.88,6554698.0,к.118,86.64,1,440114.25,6554996.0,168.0,16.0,1,сталь 13ХФА,"",Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,"",,,,,Q,422.25137,false,207.97223
1750000710,1750000710,1750006754,1750026841,1750034909,1750021950,405.4,1750031011,уз.в к22,86.0,3,442299.4,6547104.5,к.122,88.0,1,442533.75,6547346.5,168.0,16.0,1,сталь 13ХФА,"",Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,"",,,,,Q,205.396,false,214.65451
1750000710,1750000710,1750006754,1750030145,1750032640,1750021948,1574.0,1750035354,уз.в к17,71.0,3,443750.3,6555183.0,к.83,74.0,1,443613.12,6556067.5,168.0,16.0,1,сталь 13ХФА,"",Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,"",,,,,Q,226.536,false,212.99445
1750000710,1750000710,1750006754,1750032804,1750047760,1750034909,10.0,1750039032,к.122,88.0,1,442533.75,6547346.5,к.122 БГ,88.0,3,442532.72,6547319.5,114.0,11.0,1,сталь 13ХФА,"",Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,"",Q,205.396,false,214.65451,,,,
1750000710,1750000710,1750006754,1750024716,1750028636,1750021957,264.0,1750028032,уз. в к13,88.2,3,442190.03,6552776.5,к.13 Б,88.4,1,442060.38,6552517.0,114.0,11.0,1,сталь 13ХФА,"",Все трубопроводы транспортирующие воду ,"",1271081467904,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,"",,,,,,,,
1750000710,1750000710,1750005826,1750022688,1750021897,1750010931,2087.0,1750025533,КНС-1 Тайлаковская,86.9,8,441550.25,6546637.5,уз. в к1,84.8,3,439822.72,6546130.5,273.0,20.0,1,сталь 20А,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,P,,true,219.6,,,,
1750000710,1750000710,1750005826,1750020508,1750025476,1750021897,4211.0,1750022993,уз. в к1,84.8,3,439822.72,6546130.5,уз.в к38,64.0,3,439186.25,6542524.5,219.0,18.0,1,сталь 20А,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750005826,1750017108,1750034351,1750014054,121.0,1750019333,к.23,70.81,1,436762.12,6545422.0,к.23 БГ2,70.5,3,436713.7,6545309.0,168.0,16.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,Q,780.8681,false,183.32883,,,,
1750000710,1750000710,1750005826,1750017069,1750034364,1750021901,2485.0,1750019297,т.вр. в к12,88.4,3,440502.56,6548316.5,т.вр.к.95,92.0,3,438233.38,6549293.5,219.0,18.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750005826,1750017069,1750021902,1750034364,1360.0,1750028028,т.вр.к.95,92.0,3,438233.38,6549293.5,уз. в к12,96.0,3,437713.25,6550225.0,219.0,18.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750005826,1750017112,1750017937,1750021902,18.0,1750019337,уз. в к12,96.0,3,437713.25,6550225.0,к.12,94.7,1,437701.6,6550241.0,168.0,16.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,Q,2077.6003,false,179.22577
1750000710,1750000710,1750005826,1750017061,1750019993,1750021894,2097.0,1750019289,т.вр. к25,79.0,3,440901.12,6546589.5,к.25,72.2,1,441032.84,6544877.5,114.0,11.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,Q,275.98306,false,189.06735
1750000710,1750000710,1750005826,1750017109,1750010946,1750021903,116.0,1750019334,т.вр. в к3,90.0,3,440352.66,6548656.0,к.3,89.0,1,440294.72,6548535.5,114.0,11.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,Q,1244.5748,false,196.25151
1750000710,1750000710,1750005826,1750014548,1750022573,1750021894,2703.0,1750033568,т.вр. к25,79.0,3,440901.12,6546589.5,"уз.в к28,29",62.0,3,442124.38,6545406.0,168.0,16.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750005826,1750014548,1750021894,1750034363,730.0,1750016561,КНС-1 (23в),87.0,3,441520.62,6546651.0,т.вр. к25,79.0,3,440901.12,6546589.5,168.0,16.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750005826,1750017106,1750034350,1750018036,87.0,1750019331,уз.2,86.1,3,437842.84,6547180.0,к.2 БГ3,86.0,3,437958.94,6547323.0,168.0,16.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750005826,1750017063,1750021896,1750021897,1697.0,1750033278,уз. в к1,84.8,3,439822.72,6546130.5,т.вр. в к1,85.3,3,438239.28,6546291.5,219.0,18.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750005826,1750017107,1750014054,1750021900,154.0,1750019332,уз.в к23,70.3,3,436762.38,6545528.0,к.23,70.81,1,436762.12,6545422.0,168.0,16.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,Q,780.8681,false,183.32883
1750000710,1750000710,1750005826,1750017105,1750018036,1750010945,80.0,1750019330,к.2,86.08,1,437795.0,6547115.5,уз.2,86.1,3,437842.84,6547180.0,168.0,16.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,Q,2090.0132,false,177.45862,,,,
1750000710,1750000710,1750005826,1750018127,1750020317,1750022573,1534.0,1750020412,"уз.в к28,29",62.0,3,442124.38,6545406.0,к.29,66.3,1,442419.25,6543928.0,114.0,11.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,Q,220.62556,false,208.35
1750000710,1750000710,1750005826,1750017068,1750021901,1750018388,1650.0,1750019296,уз.2 водовод,82.0,3,440545.4,6546661.0,т.вр. в к12,88.4,3,440502.56,6548316.5,273.0,20.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750005826,1750017068,1750021906,1750021903,2688.0,1750028027,т.вр. в к3,90.0,3,440352.66,6548656.0,т.вр. в к4 в/в,91.0,3,440289.53,6551317.0,273.0,20.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
1750000710,1750000710,1750005826,1750017068,1750021903,1750021901,395.0,1750028026,т.вр. в к12,88.4,3,440502.56,6548316.5,т.вр. в к3,90.0,3,440352.66,6548656.0,273.0,20.0,1,сталь 20,Полилен праймер НК-50,Все трубопроводы транспортирующие воду ,"",1215755583488,Тайлаковское,ВВД Тайлаковское м/р КНС-1,ВВД Тайлаковское м/р КНС-1,нет покрытия,,,,,,,,
