,__pad_num,_c0,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,mestor_name,uphillM,startIsSource,startKind,defaultStartValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,adkuGzuPcollector,VolumeWater,startValue,X_start,X_end,Y_start,Y_end
29,56,81,pipe,HC0002,1750020055,250,1750017790,1750000894,1750000894,1750006836,1750022343,1750021778,250,1275395268000,к.56 ,63.65,1,т.вр.к56,61.2,3,159,10,1,1276545600000,Тайлаковское,-2.45,True,P,15,False,,,,,,,0.85,0.139,1E-05,20,69.2291666666667,20,443813.72,444026.31,6568461.02,6568518.94
30,57,77,pipe,HC0002,1750033249,370,1750028461,1750000894,1750000894,1750006836,1750022331,1750029742,370,1473768203000,к.57 ,87.67,1,т.вр.к57,86.5,3,219,8,1,1424379600000,Тайлаковское,-1.17,True,P,15,False,,,,,,,0.85,0.203,1E-05,19.8,78.9020310633214,19.8,455919.094256474,455708.392768373,6574710.78537059,6574515.37561901
31,59,36,pipe,HC0002,1750031728,39,1750017784,1750000894,1750000894,1750006836,1750022333,1750022281,39,1463658019000,к.59 ,63.1,1,т.вр.к59,60.1,3,159,10,1,1277323200000,Тайлаковское,-3,True,P,,False,,,,,,,0.85,0.139,1E-05,25.5,54.2592592592593,25.5,440726.76,440742.41,6574688.91,6574726.39
33,60,71,pipe,HC0002,1750019664,2000,1750017419,1750000894,1750000894,1750006836,1750043786,1750021872,2000,1273240218000,к.60 ,89.2,1,т.вр.к.93,85.2,3,159,10,1,1270929600000,Тайлаковское,-4,True,P,15,False,,,,,,,0.85,0.139,1E-05,16.4,85.6061705989111,16.4,459516.73395893,459070.35,6576276.58184169,6574695.97
34,61,3,pipe,HC0002,1750020071,363,1750017806,1750000894,1750000894,1750006836,1750022338,1750021737,363,1275397618000,к.61 ,63.1,1,т.вр.к61,62.5,3,114,8,1,1501362000000,Тайлаковское,-0.600000000000001,True,P,15,False,,,,,,,0.85,0.098,1E-05,25.4,62.3849206349206,25.4,441413.609347826,441693.66,6571471.44685394,6571623.67
35,62,11,pipe,HC0002,1751042410,86,1751035342,1750000894,1750000894,1750006836,1750022359,1750051259,86,1541141610000,к.62 Б,65.1,1,уз.вр.к.62Б,66.3,3,159,8,1,1541365200000,Тайлаковское,1.2,True,P,15,False,,,,,,,0.85,0.143,1E-05,,,15,454765.974536896,454667.943240934,6567412.36535467,6567342.70882294
36,62,37,pipe,HC0002,1750020069,250,1750017804,1750000894,1750000894,1750006836,1750022359,1750023093,250,1275396889000,к.62 ,66.9,1,уз.вр.к.62Б,66.3,3,159,10,1,1268600400000,Тайлаковское,-0.600000000000009,True,P,15,False,,,,,,,0.85,0.139,1E-05,16.1,84.8970792767733,16.1,454824.37,454667.943240934,6567212.04,6567342.70882294
37,63,40,pipe,HC0002,1750031031,176,1750026881,1750000894,1750000894,1750006836,1750022355,1750034907,176,1458910780000,к.63 ,71.2,1,"т.вр. к.63,65",70,3,159,8,1,1433883600000,Тайлаковское,-1.2,True,P,15,False,,,,,,,0.85,0.143,1E-05,16.2,82.0393700787402,16.2,452312.91,452177.89,6569504.5,6569384.93
38,68,100,pipe,HC0002,1750031030,476,1750026880,1750000894,1750000894,1750006836,1750022351,1750025776,476,1458909735000,к.68 ,65.1,1,т.вр.к68,63.8,3,114,8,1,1435870800000,Тайлаковское,-1.3,True,P,15,False,,,,,,,0.85,0.098,1E-05,17.4,78.1165048543689,17.4,450179.759831902,450288.199192269,6567185.80720827,6566720.30762156
39,69,5,pipe,HC0002,1750020061,1640,1750017796,1750000894,1750000894,1750006836,1750022349,1750021239,1640,1275395987000,к.69 ,62.9,1,т.вр.к69,63.2,3,159,10,1,1267822800000,Тайлаковское,0.300000000000004,True,P,15,False,,,,,,,0.85,0.139,1E-05,18.6,62.6984126984127,18.6,448449.26,448589.85,6564418.63,6565938.72
