,__pad_num,_c0,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,pipe_material,mestor_name,uphillM,startIsSource,startKind,defaultStartValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount,adkuGzuPcollector,VolumeWater,startValue,X_start,X_end,Y_start,Y_end
25,,11,pipe,HC0002,1750037471,2441,1750022552,1750000610,1750000610,1750006714,1750036572,1750045719,2441,1498111412000,уз.зкл к.14,89.3,3,т.вр.к.14,91.2,3,159,10,1,1343764800000,сталь 13ХФА,Тайлаковское,1.90000000000001,False,,,False,,,,,,,0.85,0.139,1E-05,False,False,,,,438327.488202522,440294.32245277,6552640.11263698,6551370.62550202
26,,11,pipe,HC0002,1750037471,2441,1750022552,1750000610,1750000610,1750006714,1750036572,1750045719,2441,1498111412000,уз.зкл к.14,89.3,3,т.вр.к.14,91.2,3,159,10,1,1343764800000,сталь 13ХФА,Тайлаковское,1.90000000000001,False,,,False,,,,,,,0.85,0.139,1E-05,False,False,,,,438327.488202522,440294.32245277,6552640.11263698,6551370.62550202
27,,12,pipe,HC0002,1750016100,1232,1750014135,1750000610,1750000610,1750005566,1750021888,1750018039,1232,1211440672000,т.вр.к.18,75.8,3,"т.вр. к27, к24",84,3,219,10,1,1185134400000,сталь 20С,Тайлаковское,8.2,False,,,False,,,,,,,0.85,0.199,1E-05,False,False,,,,443289.080397092,442940.233811724,6554014.76186602,6553264.38599961
28,,13,pipe,HC0002,1750022925,4073,1750020440,1750000610,1750000610,1750005566,1751051666,1751051665,4073,1319450657000,т.уз.к.37,62,3,вр. к.30,69.7,3,219,8,1,1399060800000,сталь 20С,Тайлаковское,7.7,False,,,False,,,,,,,0.85,0.203,1E-05,False,False,,,,442475.871606453,444929.61,6562897.75580928,6560064.25
29,,17,pipe,HC0002,1750025456,300,1750022552,1750000610,1750000610,1750006714,1750029699,1750029698,300,1392709233000,т.вр.к15,87.4,3,уз.к.15,86.5,3,159,10,1,1343764800000,сталь 13ХФА,Тайлаковское,-0.900000000000006,False,,,False,,,,,,,0.85,0.139,1E-05,False,False,,,,435864.77241088,436104.195988662,6552957.35801788,6552883.72165117
30,,18,pipe,HC0002,1750028012,1461,1750016998,1750000610,1750000610,1750006714,1750021812,1750021819,1461,1431515901000,т.вр.к12,88.2,3,Узел 2,82.6,3,273,10,1,1146945600000,сталь 20А,Тайлаковское,-5.60000000000001,False,,,False,,,,,,,0.85,0.253,1E-05,False,False,,,,440509.632457669,440555.461430073,6548307.61368351,6546655.19240579
31,,19,pipe,HC0002,1750016102,3468,1750014137,1750000610,1750000610,1750005566,1750018039,1750021857,3468,1211440865000,уз.к18,84.7,3,т.вр.к.18,75.8,3,159,10,1,1180468800000,сталь 20С,Тайлаковское,-8.90000000000001,False,,,False,,,,,,,0.85,0.139,1E-05,False,False,,,,440012.44,443289.080397092,6554775.79,6554014.76186602
32,,22,pipe,HC0002,1750033190,4016,1750028401,1750000610,1750000610,1750005566,1751051667,1751051666,4016,1473668263000,вр. к.30,69.7,3,т.83,71,3,219,8,1,1433365200000,сталь 09Г2С,Тайлаковское,1.3,False,,,False,,,,,,,0.85,0.203,1E-05,False,False,,,,444929.61,443937.35,6560064.25,6556000.55
33,,23,pipe,HC0002,1751042843,10,1751035731,1750000610,1750000610,1750005566,1751051667,1750038146,10,1544017240000,т.вр.к.83,69.7,3,т.83,71,3,159,8,1,,сталь 20,Тайлаковское,1.3,False,,,False,,,,,,,0.85,0.143,1E-05,False,False,,,,443927.48,443937.35,6555999.71,6556000.55
34,,25,pipe,HC0002,1750038492,4108,1750032342,1750000610,1750000610,1750005566,1750021865,1751051663,4108,1508334756000,т.вр.к.37,62,3,т.вр.к30,69.5,3,273,8,1,1507582800000,сталь 13ХФА,Тайлаковское,7.5,False,,,False,,,,,,,0.85,0.257,1E-05,False,False,,,,442472.971758301,444924.051081492,6562888.11478336,6560068.61934928
