,pumpModel,debit,pressure,eff,power,max,NominalQ
23571,ЭЦН5А-800-2300,857,1961.88416529525,56.3174267773624,338078.267556699,1101,800
23572,ЭЦН5А-800-2300,181,3066.6172331874,26.6941369227674,222883.209942658,1101,800
23573,ЭЦН5А-800-2300,314,2875.76590595207,40.1150113827459,245905.204062705,1101,800
23574,ЭЦН5А-800-2300,371,2805.84993738878,45.0298523423495,256052.823007114,1101,800
23575,ЭЦН5А-800-2300,781,2361.02827973995,62.0174116581345,337030.964715317,1101,800
23576,ЭЦН5А-800-2300,874,1864.13259496924,54.7115668464675,337238.928167215,1101,800
23577,ЭЦН5А-800-2300,107,3207.35326230731,16.2160200214182,210223.435600578,1101,800
23578,ЭЦН5А-800-2300,937,1476.88409986025,47.4142133247549,328938.519186964,1101,800
23579,ЭЦН5А-800-2300,978,1170.67295910673,39.2246611254066,321563.891477494,1101,800
23580,ЭЦН5А-800-2300,182,3064.7842476542,26.8246218750576,223056.986644978,1101,800
23581,ЭЦН5А-800-2300,196,3039.68821335157,28.6124006828296,225462.692144036,1101,800
23582,ЭЦН5А-800-2300,509,2734.17179477341,54.6921548820135,285835.238594966,1101,800
23583,ЭЦН5А-800-2300,602,2733.19968360081,60.2467706314914,308482.411107181,1101,800
23584,ЭЦН5А-800-2300,785,2344.35990869525,61.8410248580195,337437.799741376,1101,800
23585,ЭЦН5А-800-2300,831,2106.29727219976,58.4805663760263,338397.040941688,1101,800
23586,ЭЦН5А-800-2300,976,1188.37260759097,39.7925260288098,321998.767705278,1101,800
23587,ЭЦН5А-800-2300,1093,166.409836169117,6.80915483883161,296732.690985477,1101,800
23588,ЭЦН5А-800-2300,67,3285.63932556791,10.1767115755889,203585.262390926,1101,800
23589,ЭЦН5А-800-2300,880,1828.05927628283,54.0526223295188,336573.261488507,1101,800
23590,ЭЦН5А-800-2300,1086,211.21050105555,8.26561668243071,297862.217861303,1101,800
23591,ЭЦН5А-800-2300,421,2755.45239844343,49.0376932504755,265505.027055575,1101,800
23592,ЭЦН5А-800-2300,858,1956.33147011124,56.2341191668847,338056.159266688,1101,800
23593,ЭЦН5А-800-2300,967,1268.02102577006,42.3479180941241,323955.710730304,1101,800
23594,ЭЦН5А-800-2300,970,1241.4715530437,41.4961207390193,323303.396388629,1101,800
23595,ЭЦН5А-800-2300,618,2733.03243866789,61.2024034486059,312378.698851218,1101,800
23596,ЭЦН5А-800-2300,661,2699.07755167629,63.017598499617,321124.16076488,1101,800
23597,ЭЦН5А-800-2300,1083,237.964498220918,9.1337662408246,298526.663164971,1101,800
23598,ЭЦН5А-800-2300,1089,187.734339317529,7.50524692251051,297268.437625722,1101,800
23599,ЭЦН5А-800-2300,39,3340.40783537128,5.92375748429803,198950.313114936,1101,800
23600,ЭЦН5А-800-2300,451,2736.46830215504,51.1889496834161,271825.800380669,1101,800
23601,ЭЦН5А-800-2300,1090,181.166917439122,7.29111452894842,297102.947693201,1101,800
23602,ЭЦН5А-800-2300,106,3209.31354132004,16.0675442414675,210056.32114325,1101,800
23603,ЭЦН5А-800-2300,162,3101.29609514615,24.1650125887162,219558.635294453,1101,800
23604,ЭЦН5А-800-2300,339,2845.0655956435,42.2716031044791,250354.517187927,1101,800
23605,ЭЦН5А-800-2300,397,2776.96174270792,47.1701678901377,260852.380586791,1101,800
23606,ЭЦН5А-800-2300,693,2645.11609642214,63.7406819627679,326100.688108412,1101,800
23607,ЭЦН5А-800-2300,992,1046.77541971703,35.2496068015843,318519.757883009,1101,800
23608,ЭЦН5А-800-2300,47,3324.75968971318,7.13888722466686,200274.584336647,1101,800
23609,ЭЦН5А-800-2300,70,3279.77127094612,10.6323852282272,204081.864099068,1101,800
23610,ЭЦН5А-800-2300,315,2874.53789353972,40.2012750516152,246083.176587714,1101,800
23611,ЭЦН5А-800-2300,318,2870.8538563027,40.4600660582232,246617.09416274,1101,800
23612,ЭЦН5А-800-2300,334,2851.20565770521,41.8402847601324,249464.654562883,1101,800
23613,ЭЦН5А-800-2300,522,2734.03590826541,55.468606545919,289000.972386996,1101,800
23614,ЭЦН5А-800-2300,999,984.826650022182,33.2620796396732,316997.691085766,1101,800
23615,ЭЦН5А-800-2300,627,2732.91364818301,61.7394437444264,314568.733350744,1101,800
23616,ЭЦН5А-800-2300,712,2608.63621405074,64.0191760891764,329109.083992727,1101,800
23617,ЭЦН5А-800-2300,787,2336.02572317289,61.752831457962,337641.217254405,1101,800
23618,ЭЦН5А-800-2300,927,1538.49377993439,48.5788464834854,330277.947660919,1101,800
23619,ЭЦН5А-800-2300,1012,869.778934874605,29.5709577675525,314170.995605172,1101,800
