,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,X_start,Y_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,mestor_name,uphillM,startIsSource,VolumeWater,startKind,startValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount
65,pipe,HC0002,1750020037,9290,1750017772,1750000894,1750000894,1750006836,1750044306,1750022327,9290,1275053162000,т.вр.к41,92.6,3,449883.66,6574051.38,ЗКЛ№98,79.1,3,273,8,1,1270929600000,Тайлаковское,-13.5,False,,,,False,,,,,,,0.85,0.257,1E-05,False,False
66,pipe,HC0002,1750038731,460,1750032562,1750000894,1750000894,1750008987,1750047219,1750043166,460,1509107519000,к.134 ,66,1,464413.37,6568258.65,вр. к.134,65.3,3,159,8,1,1496264400000,Тайлаковское,-0.700000000000003,True,,P,15,False,,,,,,,0.85,0.143,1E-05,True,False
67,pipe,HC0002,1750027890,2326,1750017410,1750000894,1750000894,1750006835,1750022127,1750022126,2326,1431010393000,"т.вр. к9, к36",63.7,3,460485.17,6564800.79,вр. к.35,68.3,3,219,10,1,1225314000000,Тайлаковское,4.59999999999999,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
68,pipe,HC0002,1750020112,1244,1750017846,1750000894,1750000894,1750007301,1750022121,1750030660,1244,1275650275000,к.19 ,83.66,1,462598.231887974,6572486.89302653,вр. к.19,84.8,3,114,10,1,1388520000000,Тайлаковское,1.14,True,,P,15,False,,,,,,,0.85,0.094,1E-05,True,False
69,pipe,HC0002,1750027965,1421,1750017804,1750000894,1750000894,1750006836,1750022358,1750022359,1421,1431410537000,уз.вр.к.62Б,66.3,3,454667.943240934,6567342.70882294,т.вр.к62,69.3,3,159,10,1,1268600400000,Тайлаковское,3,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
70,pipe,HC0002,1750019669,596,1750017424,1750000894,1750000894,1750006836,1750022134,1750021517,596,1273240838000,к.42 ,85.9,1,458751.401904322,6572903.34839721,т.вр.к42,85,3,159,10,1,1270929600000,Тайлаковское,-0.900000000000006,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
71,pipe,HC0002,1750019664,2000,1750017419,1750000894,1750000894,1750006836,1750043786,1750021872,2000,1273240218000,к.60 ,89.2,1,459516.73395893,6576276.58184169,т.вр.к.93,85.2,3,159,10,1,1270929600000,Тайлаковское,-4,True,,P,15,False,,,,,,,0.85,0.139,1E-05,True,False
72,pipe,HC0002,1750027969,150,1750017409,1750000894,1750000894,1750007301,1750022320,1750034308,150,1431412797000,т.вр.к.6,83,3,462828.355883732,6569896.2085844,уз.ЗКЛD273,82,3,273,10,1,1215720000000,Тайлаковское,-1,False,,,,False,,,,,,,0.85,0.253,1E-05,False,False
73,pipe,HC0002,1750035236,329,1750030025,1750000894,1750000894,1750007301,1750022399,1750037546,329,1484313883000,к.8 Б,83,1,466252.61,6569976.53,уз.к8,80.3,3,159,8,1,1464123600000,Тайлаковское,-2.7,True,,P,15,False,,,,,,,0.85,0.143,1E-05,True,False
74,pipe,HC0002,1750023016,1450,1750020531,1750000894,1750000894,1750006836,1750022078,1750025496,1450,1320727846000,уз.№15(р-он УДР-2),78.3,3,461532.215840075,6568625.0874924,ДНС -2 Тайлаковского,82.1,7,530,8,1,1285272000000,Тайлаковское,3.8,False,,,,True,P,4.8,,,,,0.85,0.514,1E-05,False,True
