,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,X_start,Y_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,pipe_material,mestor_name,uphillM,startIsSource,VolumeWater,startKind,startValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount
39,pipe,HC0002,1751043551,1240,1750017049,1750000610,1750000610,1750006714,1750021882,1750022574,1240,1550580680000,"вр. к.29,29б",81.4,3,440634.724624518,6545324.9965178,вр.к.25,82.6,3,114,10,1,1246219200000,Ст.20са,Тайлаковское,1.19999999999999,False,,,,False,,,,,,,0.85,0.094,1E-05,False,False
40,pipe,HC0002,1750019189,926,1750016964,1750000610,1750000610,1750006714,1751052719,1750021798,926,1269873751000,уз.к2,84.5,3,437731.56,6547006.88,ЗКЛ№67.1,83.6,3,219,10,1,1148932800000,сталь 20,Тайлаковское,-0.900000000000006,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
41,pipe,HC0002,1751042837,10,1751035727,1750000610,1750000610,1750005566,1751051665,1750025406,10,1544015278000,уз.вр. к37,62.4,3,442465.673266271,6562885.37534654,т.уз.к.37,62,3,168,8,1,,сталь 20,Тайлаковское,-0.399999999999999,False,,,,False,,,,,,,0.85,0.152,1E-05,False,False
42,pipe,HC0002,1750019198,50,1750016973,1750000610,1750000610,1750006714,1750021882,1750021810,50,1269875651000,уз.р-н к1,81.9,3,440861.493856029,6546624.30787465,вр.к.25,82.6,3,219,10,1,1182369600000,сталь 20С,Тайлаковское,0.699999999999989,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
43,pipe,HC0002,1750035352,2524,1750030143,1750000610,1750000610,1750006714,1750021819,1750034342,2524,1484742888000,вр.к.95,92.3,3,438222.086238247,6549287.03055901,т.вр.к12,88.2,3,219,8,1,1474146000000,сталь 13ХФА,Тайлаковское,-4.09999999999999,False,,,,False,,,,,,,0.85,0.203,1E-05,False,False
44,pipe,HC0002,1750038494,4055,1750032342,1750000610,1750000610,1750005566,1751051663,1750046999,4055,1508334986000,уз.вр.к.70,61,3,440139.342226892,6566201.95344195,т.вр.к.37,62,3,273,8,1,1507582800000,сталь 13ХФА,Тайлаковское,1,False,,,,False,,,,,,,0.85,0.257,1E-05,False,False
45,pipe,HC0002,1751046442,6895,1750028400,1750000610,1750000610,1750005566,1751051665,1751062707,6895,1584966821000,ЗКЛ 328.1,59.9,3,439048.63,6568298.45,т.уз.к.37,62,3,219,8,1,1433106000000,сталь 09Г2С,Тайлаковское,2.1,False,,,,False,,,,,,,0.85,0.203,1E-05,False,False
46,pipe,HC0002,1751045673,2134,1750017057,1750000610,1750000610,1750005566,1750021891,1751061682,2134,1578565609000,"т.вр.к.27,101",73.2,3,445530.39,6551943.67,уз.вр. к24,85.1,3,159,10,1,1262206800000,сталь 20,Тайлаковское,11.9,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
47,pipe,HC0002,1750025379,1201,1750022533,1750000610,1750000610,1750006714,1750010908,1750021812,1201,1392107668000,Узел 2,82.6,3,440555.461430073,6546655.19240579,ДНС-1 Тайлаковского,85.7,7,325,10,1,1146945600000,сталь 20С,Тайлаковское,3.10000000000001,False,,,,True,P,4.8,,,,,0.85,0.305,1E-05,False,True
48,pipe,HC0002,1750019285,200,1750017057,1750000610,1750000610,1750005566,1751061682,1750020918,200,1270548009000,к.27 ,74,1,445689.07,6551811.93,"т.вр.к.27,101",73.2,3,159,10,1,1262206800000,сталь 20,Тайлаковское,-0.799999999999997,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
49,pipe,HC0002,1750028017,548,1750016964,1750000610,1750000610,1750006714,1750021812,1750034343,548,1431520080000,вр.р-он к.1,85.5,3,440087.95,6546492.55,Узел 2,82.6,3,219,10,1,1148932800000,сталь 20,Тайлаковское,-2.90000000000001,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
50,pipe,HC0002,1750016543,3300,1750014535,1750000610,1750000610,1750005566,1751060239,1750021861,3300,1215670098000,т.вр к17,70.2,3,445730.437978446,6555070.56980781,"уз.к.16,17,18",76.1,3,159,8,1,1209931200000,сталь 20,Тайлаковское,5.89999999999999,False,,,,False,,,,,,,0.85,0.143,1E-05,False,False
51,pipe,HC0002,1750027988,248,1750024676,1750000610,1750000610,1750005566,1750021860,1750028636,248,1431443094000,к.13 Б,88.4,1,442060.39,6552517.23,уз.к13,86.2,3,114,8,1,1356984000000,сталь 13ХФА,Тайлаковское,-2.2,True,,P,15,False,,,,15,,,0.85,0.098,1E-05,True,False
52,pipe,HC0002,1750019254,1818,1750017029,1750000610,1750000610,1750005566,1750021865,1750019994,1818,1270477358000,к.30 ,67,1,446283.29,6561199.87,т.вр.к30,69.5,3,114,10,1,1247688000000,сталь 20С,Тайлаковское,2.5,True,,P,15,False,,,,15,,,0.85,0.094,1E-05,True,False
53,pipe,HC0002,1750016099,774,1750014134,1750000610,1750000610,1750005566,1750018039,1750021808,774,1211440529000,уз.к16,75.2,3,443215.709210082,6554547.4041643,т.вр.к.18,75.8,3,159,10,1,1185134400000,сталь 20,Тайлаковское,0.599999999999994,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
54,pipe,HC0002,1750019234,144,1750016995,1750000610,1750000610,1750006714,1750018377,1750018389,144,1269962746000,вр. к.3,91.5,3,440336.5,6548549.85,т.вр.к.3,91.6,3,159,9,1,1146945600000,сталь 20А,Тайлаковское,0.099999999999994,False,,,,False,,,,,,,0.85,0.141,1E-05,False,False
55,pipe,HC0002,1750028007,4304,1750024697,1750000610,1750000610,1750006714,1750034342,1750027416,4304,1431501372000,к.95 ,92.7,1,435050.401304839,6549382.47864749,вр.к.95,92.3,3,159,10,1,1356984000000,сталь 20С,Тайлаковское,-0.400000000000006,True,,P,15,False,,,,15,,,0.85,0.139,1E-05,True,False
56,pipe,HC0002,1750016101,2275,1750014136,1750000610,1750000610,1750005566,1751052619,1750018040,2275,1211440725000,т.вр.к.13,87.4,3,442664.04,6552521.61,т.вр.к.21,89.7,3,273,10,1,1180036800000,сталь 20С,Тайлаковское,2.3,False,,,,False,,,,,,,0.85,0.253,1E-05,False,False
57,pipe,HC0002,1750016542,28,1750014534,1750000610,1750000610,1750006714,1750018389,1750010946,28,1215670082000,к.3 ,89,1,440294.71,6548535.3,вр. к.3,91.5,3,159,9,1,1146945600000,сталь 20,Тайлаковское,2.5,True,,P,15,False,,,,15,,,0.85,0.141,1E-05,True,False
58,pipe,HC0002,1750036028,1705,1750016964,1750000610,1750000610,1750006714,1750018392,1751052719,1705,1487234631000,ЗКЛ№67.1,83.6,3,438243.5,6546300.16,вр. к.1,84,3,219,10,1,1148932800000,сталь 20,Тайлаковское,0.400000000000006,False,,,,False,,,,,,,0.85,0.199,1E-05,False,False
59,pipe,HC0002,1751043690,2364,1750022552,1750000610,1750000610,1750006714,1750045719,1750029699,2364,1551185629000,уз.к.15,86.5,3,436104.195988662,6552883.72165117,уз.зкл к.14,89.3,3,159,10,1,1343764800000,сталь 13ХФА,Тайлаковское,2.8,False,,,,False,,,,,,,0.85,0.139,1E-05,False,False
